Country,Year,Date,Holiday_Name,Local_Name,Type,Description,Holiday_Season,Holiday_Month
AU,2028,2028-04-18,Last day of Passover,,Hebrew,"The last day of Passover marks the end of the Passover period, which lasts for seven or eight days.",Spring,4
AU,2028,2028-04-18,Easter Tuesday,,Local Holiday,Easter Tuesday is a public holiday in the Australian state of Tasmania.,Spring,4
AU,2028,2028-04-24,Yom HaShoah,,Hebrew,Yom Hashoah remembers the lives and sacrifices of about six million Holocaust victims who died during World War II. This observance is annually held on the 27th day of the month of Nisan.,Spring,4
AU,2028,2028-04-25,ANZAC Day,,National Holiday,ANZAC Day is the anniversary of the landing of troops from Australia and New Zealand on the Gallipoli Peninsula in Turkey during in World War I.,Spring,4
AU,2028,2028-04-25,ANZAC Day Observed,,Local Holiday,ANZAC Day is the anniversary of the landing of troops from Australia and New Zealand on the Gallipoli Peninsula in Turkey during in World War I.,Spring,4
AU,2028,2028-05-01,May Day,,Common Local Holiday,Labour Day in Australia celebrates workers’ role in contributing towards the nation’s economy. It is an annual public holiday but its date varies across the states and territories.,Spring,5
AU,2028,2028-05-01,Labour Day,,Common Local Holiday,Labour Day in Australia celebrates workers’ role in contributing towards the nation’s economy. It is an annual public holiday but its date varies across the states and territories.,Spring,5
AU,2028,2028-05-02,Yom HaAtzmaut,,Hebrew,"Many Jewish communities in Australia celebrate Yom Ha’Atzmaut, which is Israel’s Independence Day, on the fifth day of the month of Iyar in the Jewish calendar.",Spring,5
AU,2028,2028-05-05,Eid al-Adha,,Muslim,Many Muslims in Australia celebrate Eid al- Adha around the 10th to the 13th days of the Islamic month of Dhu al-Hijjah.,Spring,5
AU,2028,2028-05-05,Hari Raya Haji,,Local Holiday,Eid al-Adha (Id ul-Adha) is an Islamic festival falling on the 10th day of the month of Dhul Hijja (Thou al-Hijja) to commemorate the willingness of Ibrahim (Abraham) to sacrifice his son.,Spring,5
AU,2028,2028-05-14,Lag B'Omer,,Hebrew,Many Jewish Australians observe Lag B’Omer on the 18th day of the month of Iyar in the Jewish calendar.,Spring,5
AU,2028,2028-05-14,Mother's Day,,Observance,Mother’s Day is celebrated in Australia on the second Sunday of May each year.,Spring,5
AU,2028,2028-05-25,Ascension Day,,Christian,"Ascension Day is the 40th day of Easter and commemorates Jesus Christ’s ascension into heaven, according to Christian belief.",Spring,5
AU,2028,2028-05-25,Muharram/Islamic New Year,,Muslim,"The first day of Muharram, which is the first month in the Islamic calendar, marks the start of the Islamic New Year.",Spring,5
AU,2028,2028-05-26,National Sorry Day,,Observance,National Sorry Day is an Australia-wide observance that acknowledges the impact of Australia’s Stolen Generations.,Spring,5
AU,2028,2028-05-29,Reconciliation Day,,Local Holiday,Reconciliation Day is a state holiday in the Australian Capital Territory.,Spring,5
AU,2028,2028-05-31,Shavuot,,Hebrew,"Shavuot, also known as the Festival of Weeks, is one of three major Jewish festivals celebrated among many Jewish Australians.",Spring,5
AU,2028,2028-06-03,Ashura,,Muslim,Ashura is a Muslim in Australia,Summer,6
AU,2028,2028-06-04,Pentecost,,Christian,"Many Christians in Australia observe Pentecost, also known as Whitsunday or Whit Sunday.",Summer,6
AU,2028,2028-06-05,Whit Monday,,Christian,"Whit Monday is a Christian observance also known as Pentecost Monday. It is the day after Pentecost, or Whitsunday.",Summer,6
AU,2028,2028-06-05,Western Australia Day,,Local Holiday,Foundation Day is a public holiday in the state of Western Australia to commemorate the founding of the first British colony in the state.,Summer,6
AU,2028,2028-06-06,King's Birthday,,Common Local Holiday,The King’s birthday is an annual public holiday in parts of Australia celebrating the official birthday of King Charles III.,Summer,6
AU,2028,2028-06-06,Queensland Day,,Local Observance,Queenslanders commemorate their state’s birthday on Queensland Day in Australia.,Summer,6
AU,2028,2028-06-11,Trinity Sunday,,Christian,"Many churches in Australia observe Trinity Sunday, a Christian feast that occurs on the first Sunday after Pentecost.",Summer,6
AU,2028,2028-06-12,King's Birthday,,Common Local Holiday,The King’s birthday is an annual public holiday in parts of Australia celebrating the official birthday of King Charles III.,Summer,6
AU,2028,2028-06-15,Corpus Christi,,Christian,Corpus Christi is a Christian observance that honors the Holy Eucharist.,Summer,6
AU,2028,2028-06-21T06:02:00+10:00,June Solstice,,Season,June Solstice in Australia (Sydney),Summer,6
AU,2028,2028-07-02,First Day of NAIDOC Week,,Observance,First Day of NAIDOC Week is a observance in Australia,Summer,7
AU,2028,2028-08-01,Tisha B'Av,,Hebrew,Tisha B’Av is on the ninth day of the month of Av in the Jewish calendar.,Summer,8
AU,2028,2028-08-03,Milad un Nabi (Mawlid),,Muslim,Eid Milad ul-Nabi marks the anniversary of the Prophet Muhammad's birth and death.,Summer,8
AU,2028,2028-08-03,Hari Maulad Nabi,,Local Holiday,"Mawlid, or Milad, marks the birth of the Islamic prophet Muhammed, or Mohamed, in the year 570 of the Gregorian calendar.",Summer,8
AU,2028,2028-08-07,New South Wales Bank Holiday,,Local Holiday,The New South Wales Bank Holiday falls on the first Monday of August.,Summer,8
AU,2028,2028-08-07,Northern Territory Picnic Day,,Local Holiday,Picnic Day is a public holiday annually held in Australia’s Northern Territory on the first Monday of August.,Summer,8
AU,2028,2028-08-15,Assumption of Mary,,Christian,The Feast of the Assumption of Mary is an annual Christian observance in Australia held on August 15. It is considered a Holy Day of Obligation - a day when some Christian denominations are obliged to attend mass.,Summer,8
AU,2028,2028-08-16,Royal National Agricultural Show Day Queensland,,Local Holiday,"The Royal National Agricultural (RNA) Show Day is usually held in Brisbane, the capital city of the state of Queensland, Australia, on the second or third Wednesday in August.",Summer,8
AU,2028,2028-09-03,Fathers' Day,,Observance,Father’s Day celebrates the contribution that fathers and father figures make to their children’s lives.,Autumn,9
AU,2028,2028-09-21,Rosh Hashana,,Hebrew,"Rosh Hashana, also spelled Rosh Hashanah, is commonly known as the Jewish New Year. The event begins on the first day of Tishrei (or Tishri), which is the seventh month in the Jewish calendar.",Autumn,9
AU,2028,2028-09-22T21:45:21+10:00,September Equinox,,Season,September Equinox in Australia (Sydney),Autumn,9
AU,2028,2028-09-25,King's Birthday,,Common Local Holiday,The King’s birthday is an annual public holiday in parts of Australia celebrating the official birthday of King Charles III.,Autumn,9
AU,2028,2028-09-29,Friday before the AFL Grand Final,,Local Holiday,Friday before the AFL Grand Final is a state holiday in Australia,Autumn,9
AU,2028,2028-09-30,Yom Kippur,,Hebrew,Yom Kippur is an important Jewish holiday that falls on the 10th day of the month of Tishrei in the Jewish calendar.,Autumn,9
AU,2028,2028-10-01T02:00:00+10:00,Daylight Saving Time starts,,Clock Change/Daylight Saving Time,Daylight Saving Time starts in Australia,Autumn,10
AU,2028,2028-10-02,Territory Day,,Local Holiday,Territory Day is a state holiday in Australia,Autumn,10
AU,2028,2028-10-02,King's Birthday,,Common Local Holiday,The King’s birthday is an annual public holiday in parts of Australia celebrating the official birthday of King Charles III.,Autumn,10
AU,2028,2028-10-02,Labour Day,,Common Local Holiday,Labour Day in Australia celebrates workers’ role in contributing towards the nation’s economy. It is an annual public holiday but its date varies across the states and territories.,Autumn,10
AU,2028,2028-10-04,Feast of St Francis of Assisi,,Christian,"Many churches in Australia celebrate the Feast of St Francis of Assisi to honor St Francis, the patron saint of animals and the environment, on October 4 each year.",Autumn,10
AU,2028,2028-10-05,First day of Sukkot,,Hebrew,The first day of Sukkot marks the start of the Sukkot festival for Jewish communities in Australia.,Autumn,10
AU,2028,2028-10-11,Hoshana Rabbah,,Hebrew,"Many Jewish communities in Australia observe the last day of Sukkot, which marks the end of the Sukkot festival.",Autumn,10
AU,2028,2028-10-12,Shemini Atzeret,,Hebrew,"Shemini Atzeret (or Shmini Atzeret) is a Jewish holiday dedicated to the love of God, while Simchat Torah (Simchas Torah or Simhat Torah) marks the end of Sukkot and celebrates the completion of the annual reading of the Torah.",Autumn,10
AU,2028,2028-10-13,Simchat Torah,,Hebrew,Simchat Torah (Simchas Torah or Simhat Torah) is a Jewish holiday that celebrates the completion of the annual reading of the Torah.,Autumn,10
AU,2028,2028-10-15,International Pregnancy and Infant Loss Remembrance Day,,Observance,International Pregnancy and Infant Loss Remembrance Day is a observance in Australia,Autumn,10
AU,2028,2028-10-17,Diwali/Deepavali,,Observance,"Diwali, also known as the Festival of Lights, marks the beginning of the Hindu New Year.",Autumn,10
AU,2028,2028-10-26,Royal Hobart Show,,Local Holiday,Royal Hobart Show is a state holiday in Australia,Autumn,10
AU,2028,2028-10-31,Halloween,,Observance,Halloween is a festive occasion that is celebrated in Australian communities on October 31 each year.,Autumn,10
AU,2028,2028-11-01,All Saints' Day,,Christian,"Many churches in Australia annually observe All Saints' Day, also known as All Hallows' Day.",Autumn,11
AU,2028,2028-11-02,All Souls' Day,,Christian,All Souls’ Day is observed among some Christians in Australia on November 2 each year.,Autumn,11
AU,2028,2028-11-06,Recreation Day,,Local Holiday,"Recreation Day is annually celebrated in northern Tasmania, in Australia, on the first Monday of November.",Autumn,11
AU,2028,2028-11-07,Melbourne Cup Day,,Local Holiday,Melbourne Cup Day is Australia’s most celebrated horse racing event. It is an annual public holiday in the state of Victoria and is observed nationwide on the first Tuesday of November.,Autumn,11
AU,2028,2028-11-11,Remembrance Day,,Observance,"Remembrance Day in Australia is annually observed on November 11 although it is not a public holiday. This event remembers those who died as a result of war, particularly from World War I onwards.",Autumn,11
AU,2028,2028-12-03,First Sunday of Advent,,Observance,Many Christians mark the First Sunday of Advent as the start of the Advent season leading up to Christmas.,Winter,12
AU,2028,2028-12-08,Feast of the Immaculate Conception,,Christian,"Some Christians, particularly those of Catholic faith, in Australia mark the Feast of the Immaculate Conception on or around December 8.",Winter,12
AU,2028,2028-12-13,First Day of Hanukkah,,Hebrew,"The first day of Hanukkah is the start of the Hanukkah period, which lasts for 8 days, from the 25th day of the month of Kislev to the second day of Tevet in the Hebrew calendar.",Winter,12
AU,2028,2028-12-14,Isra and Mi'raj,,Muslim,"Isra and Mi'raj (Isra Me'raj, Israa and Mi'raaj, Laylat Al-Isra wa Al-Miraj, Lailat al Miraj, Night Journey and Ascension to Heaven) marks the night when the Prophet Mohammad traveled from Mecca to Jerusalem, ascended to heaven and returned.",Winter,12
AU,2028,2028-12-20,Last day of Hanukkah,,Hebrew,"The last day of Hanukkah marks the end of a festive Jewish occasion, known as Hanukkah or Chanukah.",Winter,12
AU,2028,2028-12-21T19:19:38+11:00,December Solstice,,Season,December Solstice in Australia (Sydney),Winter,12
AU,2028,2028-12-24,Christmas Eve,,Observance,"Christmas Eve in Australia is annually celebrated on December 24, which is the day before Christmas Day.",Winter,12
AU,2028,2028-12-24,Christmas Eve,,Local Holiday,"Christmas Eve in Australia is annually celebrated on December 24, which is the day before Christmas Day.",Winter,12
AU,2028,2028-12-25,Christmas Day,,"National Holiday, Christian","Christians celebrate the birth of Jesus on Christmas Day, which is in the middle of summer in Australia.",Winter,12
AU,2028,2028-12-25,Christmas Day,,Local Holiday,"Christians celebrate the birth of Jesus on Christmas Day, which is in the middle of summer in Australia.",Winter,12
AU,2028,2028-12-26,Boxing Day,,"National Holiday, Christian",December 26 is the Boxing Day holiday celebrated in Australia.,Winter,12
AU,2028,2028-12-31,New Year's Eve,,Observance,"Many Australians celebrate New Year’s Eve on December 31 each year, which coincides with the date before New Year’s Day in the Gregorian calendar.",Winter,12
AU,2028,2028-12-31,New Year's Eve,,Local Holiday,"Many Australians celebrate New Year’s Eve on December 31 each year, which coincides with the date before New Year’s Day in the Gregorian calendar.",Winter,12
AU,2029,2029-01-01,New Year's Day,,National Holiday,New Year's Day is the first day of the year in the Gregorian calendar used in Australia and many other countries.,Winter,1
AU,2029,2029-01-06,Epiphany,,Christian,Many people in countries such as Australia annually observe Epiphany on January 6.,Winter,1
AU,2029,2029-01-07,Orthodox Christmas Day,,Orthodox,Many Orthodox Christian churches in countries such as Australia observe Christmas Day on or near January 7 in the Gregorian calendar.,Winter,1
AU,2029,2029-01-14,Orthodox New Year,,Orthodox,Many Orthodox Christian churches in countries such as Australia celebrate New Year’s Day on January 14 in the Gregorian calendar.,Winter,1
AU,2029,2029-01-16,Ramadan Start,,Muslim,"Many Muslims in Australia welcome Ramadan as period of fasting, self-evaluation and spiritual growth. Ramadan is the ninth month in the Islamic calendar.",Winter,1
AU,2029,2029-01-26,Australia Day,,National Holiday,Australia Day is the Australian national day. It is celebrated on January 26 each year.,Winter,1
AU,2029,2029-01-31,Tu B'Shevat (Arbor Day),,Hebrew,"Tu B’Shevat is known as the “New Year for Trees”, is one of the four Jewish New Years.",Winter,1
AU,2029,2029-02-10,Lailat al-Qadr,,Muslim,Laylat al-Qadr is most likely to be held on one of the last 10 days of month of Ramadan in the Islamic calendar.,Winter,2
AU,2029,2029-02-12,Royal Hobart Regatta,,Local Holiday,"The Royal Hobart Regatta is an annual public holiday in southern Tasmania, Australia, on the second Monday in February.",Winter,2
AU,2029,2029-02-13,Carnival / Shrove Tuesday / Pancake Day,,Christian,Shrove Tuesday is the day before the start of the Lent period for many Christians in Australia.,Winter,2
AU,2029,2029-02-13,Lunar New Year,,Observance,Lunar New Year marks the first day of the New Year in the Chinese calendar.,Winter,2
AU,2029,2029-02-13,Lunar New Year,,Local Holiday,Lunar New Year marks the first day of the New Year in the Chinese calendar.,Winter,2
AU,2029,2029-02-14,Ash Wednesday,,Christian,Ash Wednesday marks the first day of Lent in for many Christians in Australia.,Winter,2
AU,2029,2029-02-14,Valentine's Day,,Observance,"Valentine’s Day, which is annually held on February 14, is one of the most romantic days in the year for many people in countries such as Australia.",Winter,2
AU,2029,2029-02-14,Lunar New Year Holiday (Day 2),,Local Holiday,Lunar New Year Holiday (Day 2) is a state holiday in Australia,Winter,2
AU,2029,2029-02-15,Eid ul Fitr,,Muslim,"Eid al-Fitr, which is on the first day of the Islamic month of Shawwal, marks the end of the month-long fast of Ramadan.",Winter,2
AU,2029,2029-02-15,Hari Raya Puasa,,Local Holiday,"Eid al-Fitr is a holiday to mark the end of the Islamic month of Ramadan, during which Muslims fast during the hours of daylight.",Winter,2
AU,2029,2029-03-01,Purim,,Hebrew,"Purim commemorates a time when Jewish people were saved from death around the fourth century BCE, according to the Book of Esther.",Spring,3
AU,2029,2029-03-05,Labour Day,,Common Local Holiday,Labour Day in Australia celebrates workers’ role in contributing towards the nation’s economy. It is an annual public holiday but its date varies across the states and territories.,Spring,3
AU,2029,2029-03-12,Labour Day,,Common Local Holiday,Labour Day in Australia celebrates workers’ role in contributing towards the nation’s economy. It is an annual public holiday but its date varies across the states and territories.,Spring,3
AU,2029,2029-03-12,Eight Hours Day,,Common Local Holiday,Labour Day in Australia celebrates workers’ role in contributing towards the nation’s economy. It is an annual public holiday but its date varies across the states and territories.,Spring,3
AU,2029,2029-03-12,Adelaide Cup,,Local Holiday,Adelaide Cup is a state holiday and a horse racing event in South Australia.,Spring,3
AU,2029,2029-03-12,Canberra Day,,Local Holiday,Canberra Day is a public holiday that celebrates Canberra’s official founding in the Australian Capital Territory.,Spring,3
AU,2029,2029-03-15,National Close the Gap Day,,Observance,Unknown,Spring,3
AU,2029,2029-03-17,St Patrick's Day,,Observance,"St Patrick’s Day is a popular observance in Australia to honor Irish culture and commemorate one of Ireland’s patron saints, St Patrick.",Spring,3
AU,2029,2029-03-20T19:02:02+11:00,March Equinox,,Season,March Equinox in Australia (Sydney),Spring,3
AU,2029,2029-03-21,Harmony Day,,Observance,"Harmony Day is a national observance that celebrates Australia’s cultural, linguistic and religious diversity on March 21 every year.",Spring,3
AU,2029,2029-03-25,Palm Sunday,,Christian,Palm Sunday in Australia celebrates Jesus Christ’s entry into Jerusalem. It is also the Sunday before Easter Sunday.,Spring,3
AU,2029,2029-03-29,Maundy Thursday,,Christian,Many Christians in the Australia celebrate Maundy Thursday on the Thursday before Good Friday.,Spring,3
AU,2029,2029-03-30,Good Friday,,Local Holiday,Good Friday is two days before Easter Sunday and is a national holiday in Australia.,Spring,3
AU,2029,2029-03-30,Good Friday,,"National Holiday, Christian",Good Friday is two days before Easter Sunday and is a national holiday in Australia.,Spring,3
AU,2029,2029-03-31,First day of Passover,,Hebrew,Passover is a Jewish observance of the liberation from slavery and the Israelites' exodus from Egypt around 3000 years ago.,Spring,3
AU,2029,2029-03-31,Holy Saturday,,Common Local Holiday,Holy Saturday is the day before Easter Sunday and is a public holiday in some states and the two territories in Australia.,Spring,3
AU,2029,2029-04-01T03:00:00+11:00,Daylight Saving Time ends,,Clock Change/Daylight Saving Time,Daylight Saving Time ends in Australia,Spring,4
AU,2029,2029-04-01,Easter Sunday,,Common Local Holiday,"On Easter Sunday, Christians celebrate the resurrection of Jesus Christ after his crucifixion.",Spring,4
AU,2029,2029-04-01,Easter Sunday,,Observance,"On Easter Sunday, Christians celebrate the resurrection of Jesus Christ after his crucifixion.",Spring,4
AU,2029,2029-04-02,Easter Monday,,"National Holiday, Christian",Easter Monday is the day after Easter Sunday and is a nationwide holiday in Australia.,Spring,4
AU,2029,2029-04-02,Easter Monday,,Local Observance,Easter Monday is the day after Easter Sunday and is a nationwide holiday in Australia.,Spring,4
AU,2029,2029-04-03,Easter Tuesday,,Local Holiday,Easter Tuesday is a public holiday in the Australian state of Tasmania.,Spring,4
AU,2029,2029-04-06,Orthodox Good Friday,,Orthodox,Many Orthodox Christians in Australia remember the events leading up to Jesus Christ's crucifixion on Great Friday.,Spring,4
AU,2029,2029-04-06,Self Determination Day,,Local Holiday,Self Determination Day is a state holiday in Australia,Spring,4
AU,2029,2029-04-07,Last day of Passover,,Hebrew,"The last day of Passover marks the end of the Passover period, which lasts for seven or eight days.",Spring,4
AU,2029,2029-04-07,Orthodox Holy Saturday,,Orthodox,Many Orthodox Christians in Australia remember Jesus Christ’s burial and his descent into Hades on Holy Saturday.,Spring,4
AU,2029,2029-04-08,Orthodox Easter,,Orthodox,"Many Orthodox Christians in Australia celebrate Jesus Christ’s resurrection on Easter Sunday, also known as Pascha.",Spring,4
AU,2029,2029-04-09,Orthodox Easter Monday,,Orthodox,Many Orthodox churches in Australia observe Easter Monday on the day after the Orthodox Easter Sunday date.,Spring,4
AU,2029,2029-04-11,Yom HaShoah,,Hebrew,Yom Hashoah remembers the lives and sacrifices of about six million Holocaust victims who died during World War II. This observance is annually held on the 27th day of the month of Nisan.,Spring,4
AU,2029,2029-04-19,Yom HaAtzmaut,,Hebrew,"Many Jewish communities in Australia celebrate Yom Ha’Atzmaut, which is Israel’s Independence Day, on the fifth day of the month of Iyar in the Jewish calendar.",Spring,4
AU,2029,2029-04-24,Eid al-Adha,,Muslim,Many Muslims in Australia celebrate Eid al- Adha around the 10th to the 13th days of the Islamic month of Dhu al-Hijjah.,Spring,4
AU,2029,2029-04-24,Hari Raya Haji,,Local Holiday,Eid al-Adha (Id ul-Adha) is an Islamic festival falling on the 10th day of the month of Dhul Hijja (Thou al-Hijja) to commemorate the willingness of Ibrahim (Abraham) to sacrifice his son.,Spring,4
AU,2029,2029-04-25,ANZAC Day,,National Holiday,ANZAC Day is the anniversary of the landing of troops from Australia and New Zealand on the Gallipoli Peninsula in Turkey during in World War I.,Spring,4
AU,2029,2029-04-25,ANZAC Day Observed,,Local Holiday,ANZAC Day is the anniversary of the landing of troops from Australia and New Zealand on the Gallipoli Peninsula in Turkey during in World War I.,Spring,4
AU,2029,2029-05-03,Lag B'Omer,,Hebrew,Many Jewish Australians observe Lag B’Omer on the 18th day of the month of Iyar in the Jewish calendar.,Spring,5
AU,2029,2029-05-07,May Day,,Common Local Holiday,Labour Day in Australia celebrates workers’ role in contributing towards the nation’s economy. It is an annual public holiday but its date varies across the states and territories.,Spring,5
AU,2029,2029-05-07,Labour Day,,Common Local Holiday,Labour Day in Australia celebrates workers’ role in contributing towards the nation’s economy. It is an annual public holiday but its date varies across the states and territories.,Spring,5
AU,2029,2029-05-10,Ascension Day,,Christian,"Ascension Day is the 40th day of Easter and commemorates Jesus Christ’s ascension into heaven, according to Christian belief.",Spring,5
AU,2029,2029-05-13,Mother's Day,,Observance,Mother’s Day is celebrated in Australia on the second Sunday of May each year.,Spring,5
AU,2029,2029-05-15,Muharram/Islamic New Year,,Muslim,"The first day of Muharram, which is the first month in the Islamic calendar, marks the start of the Islamic New Year.",Spring,5
AU,2029,2029-05-20,Pentecost,,Christian,"Many Christians in Australia observe Pentecost, also known as Whitsunday or Whit Sunday.",Spring,5
AU,2029,2029-05-20,Shavuot,,Hebrew,"Shavuot, also known as the Festival of Weeks, is one of three major Jewish festivals celebrated among many Jewish Australians.",Spring,5
AU,2029,2029-05-21,Whit Monday,,Christian,"Whit Monday is a Christian observance also known as Pentecost Monday. It is the day after Pentecost, or Whitsunday.",Spring,5
AU,2029,2029-05-24,Ashura,,Muslim,Ashura is a Muslim in Australia,Spring,5
AU,2029,2029-05-26,National Sorry Day,,Observance,National Sorry Day is an Australia-wide observance that acknowledges the impact of Australia’s Stolen Generations.,Spring,5
AU,2029,2029-05-27,Trinity Sunday,,Christian,"Many churches in Australia observe Trinity Sunday, a Christian feast that occurs on the first Sunday after Pentecost.",Spring,5
AU,2029,2029-05-28,Reconciliation Day,,Local Holiday,Reconciliation Day is a state holiday in the Australian Capital Territory.,Spring,5
AU,2029,2029-05-31,Corpus Christi,,Christian,Corpus Christi is a Christian observance that honors the Holy Eucharist.,Spring,5
AU,2029,2029-06-04,Western Australia Day,,Local Holiday,Foundation Day is a public holiday in the state of Western Australia to commemorate the founding of the first British colony in the state.,Summer,6
AU,2029,2029-06-06,King's Birthday,,Common Local Holiday,The King’s birthday is an annual public holiday in parts of Australia celebrating the official birthday of King Charles III.,Summer,6
AU,2029,2029-06-06,Queensland Day,,Local Observance,Queenslanders commemorate their state’s birthday on Queensland Day in Australia.,Summer,6
AU,2029,2029-06-11,King's Birthday,,Common Local Holiday,The King’s birthday is an annual public holiday in parts of Australia celebrating the official birthday of King Charles III.,Summer,6
AU,2029,2029-06-21T11:48:16+10:00,June Solstice,,Season,June Solstice in Australia (Sydney),Summer,6
AU,2029,2029-07-01,First Day of NAIDOC Week,,Observance,First Day of NAIDOC Week is a observance in Australia,Summer,7
AU,2029,2029-07-22,Tisha B'Av,,Hebrew,Tisha B’Av is on the ninth day of the month of Av in the Jewish calendar.,Summer,7
AU,2029,2029-07-24,Milad un Nabi (Mawlid),,Muslim,Eid Milad ul-Nabi marks the anniversary of the Prophet Muhammad's birth and death.,Summer,7
AU,2029,2029-07-24,Hari Maulad Nabi,,Local Holiday,"Mawlid, or Milad, marks the birth of the Islamic prophet Muhammed, or Mohamed, in the year 570 of the Gregorian calendar.",Summer,7
AU,2029,2029-08-06,New South Wales Bank Holiday,,Local Holiday,The New South Wales Bank Holiday falls on the first Monday of August.,Summer,8
AU,2029,2029-08-06,Northern Territory Picnic Day,,Local Holiday,Picnic Day is a public holiday annually held in Australia’s Northern Territory on the first Monday of August.,Summer,8
AU,2029,2029-08-15,Assumption of Mary,,Christian,The Feast of the Assumption of Mary is an annual Christian observance in Australia held on August 15. It is considered a Holy Day of Obligation - a day when some Christian denominations are obliged to attend mass.,Summer,8
AU,2029,2029-08-15,Royal National Agricultural Show Day Queensland,,Local Holiday,"The Royal National Agricultural (RNA) Show Day is usually held in Brisbane, the capital city of the state of Queensland, Australia, on the second or third Wednesday in August.",Summer,8
AU,2029,2029-09-02,Fathers' Day,,Observance,Father’s Day celebrates the contribution that fathers and father figures make to their children’s lives.,Autumn,9
AU,2029,2029-09-10,Rosh Hashana,,Hebrew,"Rosh Hashana, also spelled Rosh Hashanah, is commonly known as the Jewish New Year. The event begins on the first day of Tishrei (or Tishri), which is the seventh month in the Jewish calendar.",Autumn,9
AU,2029,2029-09-19,Yom Kippur,,Hebrew,Yom Kippur is an important Jewish holiday that falls on the 10th day of the month of Tishrei in the Jewish calendar.,Autumn,9
AU,2029,2029-09-23T03:38:23+10:00,September Equinox,,Season,September Equinox in Australia (Sydney),Autumn,9
AU,2029,2029-09-24,First day of Sukkot,,Hebrew,The first day of Sukkot marks the start of the Sukkot festival for Jewish communities in Australia.,Autumn,9
AU,2029,2029-09-24,King's Birthday,,Common Local Holiday,The King’s birthday is an annual public holiday in parts of Australia celebrating the official birthday of King Charles III.,Autumn,9
AU,2029,2029-09-28,Friday before the AFL Grand Final,,Local Holiday,Friday before the AFL Grand Final is a state holiday in Australia,Autumn,9
AU,2029,2029-09-30,Hoshana Rabbah,,Hebrew,"Many Jewish communities in Australia observe the last day of Sukkot, which marks the end of the Sukkot festival.",Autumn,9
AU,2029,2029-10-01,Shemini Atzeret,,Hebrew,"Shemini Atzeret (or Shmini Atzeret) is a Jewish holiday dedicated to the love of God, while Simchat Torah (Simchas Torah or Simhat Torah) marks the end of Sukkot and celebrates the completion of the annual reading of the Torah.",Autumn,10
AU,2029,2029-10-01,Territory Day,,Local Holiday,Territory Day is a state holiday in Australia,Autumn,10
AU,2029,2029-10-01,King's Birthday,,Common Local Holiday,The King’s birthday is an annual public holiday in parts of Australia celebrating the official birthday of King Charles III.,Autumn,10
AU,2029,2029-10-01,Labour Day,,Common Local Holiday,Labour Day in Australia celebrates workers’ role in contributing towards the nation’s economy. It is an annual public holiday but its date varies across the states and territories.,Autumn,10
AU,2029,2029-10-02,Simchat Torah,,Hebrew,Simchat Torah (Simchas Torah or Simhat Torah) is a Jewish holiday that celebrates the completion of the annual reading of the Torah.,Autumn,10
AU,2029,2029-10-04,Feast of St Francis of Assisi,,Christian,"Many churches in Australia celebrate the Feast of St Francis of Assisi to honor St Francis, the patron saint of animals and the environment, on October 4 each year.",Autumn,10
AU,2029,2029-10-07T02:00:00+10:00,Daylight Saving Time starts,,Clock Change/Daylight Saving Time,Daylight Saving Time starts in Australia,Autumn,10
AU,2029,2029-10-15,International Pregnancy and Infant Loss Remembrance Day,,Observance,International Pregnancy and Infant Loss Remembrance Day is a observance in Australia,Autumn,10
AU,2029,2029-10-25,Royal Hobart Show,,Local Holiday,Royal Hobart Show is a state holiday in Australia,Autumn,10
AU,2029,2029-10-31,Halloween,,Observance,Halloween is a festive occasion that is celebrated in Australian communities on October 31 each year.,Autumn,10
AU,2029,2029-11-01,All Saints' Day,,Christian,"Many churches in Australia annually observe All Saints' Day, also known as All Hallows' Day.",Autumn,11
AU,2029,2029-11-02,All Souls' Day,,Christian,All Souls’ Day is observed among some Christians in Australia on November 2 each year.,Autumn,11
AU,2029,2029-11-05,Recreation Day,,Local Holiday,"Recreation Day is annually celebrated in northern Tasmania, in Australia, on the first Monday of November.",Autumn,11
AU,2029,2029-11-05,Diwali/Deepavali,,Observance,"Diwali, also known as the Festival of Lights, marks the beginning of the Hindu New Year.",Autumn,11
AU,2029,2029-11-06,Melbourne Cup Day,,Local Holiday,Melbourne Cup Day is Australia’s most celebrated horse racing event. It is an annual public holiday in the state of Victoria and is observed nationwide on the first Tuesday of November.,Autumn,11
AU,2029,2029-11-11,Remembrance Day,,Observance,"Remembrance Day in Australia is annually observed on November 11 although it is not a public holiday. This event remembers those who died as a result of war, particularly from World War I onwards.",Autumn,11
AU,2029,2029-12-02,First Sunday of Advent,,Observance,Many Christians mark the First Sunday of Advent as the start of the Advent season leading up to Christmas.,Winter,12
AU,2029,2029-12-02,First Day of Hanukkah,,Hebrew,"The first day of Hanukkah is the start of the Hanukkah period, which lasts for 8 days, from the 25th day of the month of Kislev to the second day of Tevet in the Hebrew calendar.",Winter,12
AU,2029,2029-12-04,Isra and Mi'raj,,Muslim,"Isra and Mi'raj (Isra Me'raj, Israa and Mi'raaj, Laylat Al-Isra wa Al-Miraj, Lailat al Miraj, Night Journey and Ascension to Heaven) marks the night when the Prophet Mohammad traveled from Mecca to Jerusalem, ascended to heaven and returned.",Winter,12
AU,2029,2029-12-08,Feast of the Immaculate Conception,,Christian,"Some Christians, particularly those of Catholic faith, in Australia mark the Feast of the Immaculate Conception on or around December 8.",Winter,12
